,ssp126_low,ssp126_mean,ssp126_high,ssp245_low,ssp245_mean,ssp245_high,ssp370_low,ssp370_mean,ssp370_high,ssp585_low,ssp585_mean,ssp585_high
2020,162098419.980581,213245900.0,264393388.019419,185198612.98619458,214353970.0,243509323.01380542,171909928.75221342,225026580.0,278143223.2477866,182917585.7837735,217300620.0,251683662.2162265
2030,248977747.0076785,309987260.0,370996780.9923215,252073508.403121,292272500.0,332471515.596879,223913355.1132608,294246180.0,364578996.8867392,255839667.78997573,316022900.0,376206156.21002424
2040,303004531.6094688,384176320.0,465348108.3905312,279027099.80050063,336138100.0,393249124.19949937,296372352.1222031,387340100.0,478307839.8777969,315857011.7792827,400958370.0,486059724.2207173
2050,344322648.7848873,437718300.0,531113959.2151127,354519844.06324357,446496450.0,538473051.9367564,388890536.0071504,550068500.0,711246423.9928496,427312758.6542691,557870460.0,688428169.3457309
2060,363047506.6764663,453691170.0,544334829.3235337,343014904.4974803,449100800.0,555186695.5025197,532106426.66726017,707395200.0,882683973.3327398,472484286.0954822,663770200.0,855056065.9045179
2070,347108043.29860234,437948640.0,528789236.70139766,420797070.72424614,568037300.0,715277553.2757539,591271653.2845618,835723900.0,1080176154.7154384,579510236.9879538,809268160.0,1039026083.0120462
2080,336865892.39327484,415226050.0,493586203.60672516,462360967.54183364,638840200.0,815319416.4581664,897810878.8588891,1204801400.0,1511791937.141111,709256431.4549692,976354900.0,1243453328.5450308
2090,286892466.3884691,370512670.0,454132877.6115309,478388313.9340893,646368450.0,814348582.0659107,1085133646.795461,1492601900.0,1900070065.204539,813505123.3960214,1078193900.0,1342882716.6039786
