,ssp126_low,ssp126_mean,ssp126_high,ssp245_low,ssp245_mean,ssp245_high,ssp370_low,ssp370_mean,ssp370_high,ssp585_low,ssp585_mean,ssp585_high
2020,325542215.5127611,368874240.0,412206264.4872389,175182604.71411586,202477470.0,229772339.28588414,151573914.7954868,171589870.0,191605829.2045132,89605377.83275297,100386690.0,111167998.16724703
2030,643186972.4673344,752426400.0,861665763.5326656,337152942.78915995,388767170.0,440381393.21084005,288330978.93297625,341853400.0,395375837.06702375,177618308.521237,199268700.0,220919099.478763
2040,1014559442.3360231,1199166600.0,1383773741.663977,658651212.3548853,762568960.0,866486707.6451147,555291346.0410504,630739840.0,706188333.9589496,382325563.1113316,440236960.0,498148356.8886684
2050,1326111786.4731274,1553931400.0,1781750997.5268726,1242917588.651168,1457248000.0,1671578411.348832,1184152561.1311924,1309518800.0,1434885134.8688076,882932319.0287867,975865000.0,1068797728.9712133
2060,1411612300.1067472,1713569300.0,2015526259.8932528,1929708423.9976244,2297263000.0,2664817784.0023756,2381401284.1080227,2639422700.0,2897444155.8919773,1724137516.4782038,1894654300.0,2065171155.5217962
2070,1471819736.0225954,1784395600.0,2096971559.9774046,2514020861.3655195,2914277600.0,3314534402.6344805,3964887210.6395936,4380632600.0,4796377941.360407,3089071567.6804843,3406273000.0,3723474480.3195157
2080,1415731608.3702416,1752416100.0,2089100647.6297584,3103348788.7108297,3551986700.0,4000624587.2891703,5530620535.057809,6089183700.0,6647746952.942191,4265994600.291147,4672155600.0,5078316695.708853
2090,1264698880.6925263,1574350100.0,1884001279.3074737,3377751297.4838705,3869861400.0,4361971454.5161295,6938187582.997679,7510643700.0,8083099841.002321,4882950186.518443,5257036300.0,5631122389.481557
