,ssp126_low,ssp126_mean,ssp126_high,ssp245_low,ssp245_mean,ssp245_high,ssp370_low,ssp370_mean,ssp370_high,ssp585_low,ssp585_mean,ssp585_high
2020,79663647.64328495,113609030.0,147554416.35671505,96562022.40409665,108650240.0,120738457.59590335,90226514.38554284,123316550.0,156406589.61445716,88750761.27485766,101631030.0,114511302.72514234
2030,106272970.4601719,140778130.0,175283285.53982812,114232657.96970195,134531580.0,154830510.03029805,111713233.28474455,150419680.0,189126126.71525544,128925599.00172544,142616670.0,156307744.99827456
2040,122873462.7459802,159305940.0,195738409.2540198,139714734.36693293,165422700.0,191130673.63306707,150900778.2332766,196143800.0,241386837.7667234,150585336.59072137,168154640.0,185723943.40927863
2050,143315003.30762663,189205900.0,235096804.69237337,172630389.42848668,200527310.0,228424234.57151332,205843861.65713432,266764740.0,327685610.3428657,211978726.527098,235523980.0,259069241.472902
2060,150976532.821586,191473890.0,231971243.178414,198423921.42815298,220928400.0,243432878.57184702,269002348.48522425,335062000.0,401121683.51477575,253467876.9870974,293204740.0,332941595.0129026
2070,151582522.0987823,186692420.0,221802309.9012177,224996786.76191616,254533820.0,284070861.23808384,345502464.8186539,420061660.0,494620863.1813461,326745547.7117715,387807460.0,448869364.2882285
2080,140155599.5943168,177100050.0,214044496.4056832,242302975.7505285,280159700.0,318016448.2494715,487214109.24218786,603649500.0,720084834.7578121,410764557.2520242,505748800.0,600733042.7479758
2090,127939150.24076371,166201800.0,204464433.75923628,258493336.12887755,291544450.0,324595559.8711225,616561548.7635081,757799300.0,899037043.2364919,473094637.37152296,598440060.0,723785490.628477
