,ssp126_low,ssp126_mean,ssp126_high,ssp245_low,ssp245_mean,ssp245_high,ssp370_low,ssp370_mean,ssp370_high,ssp585_low,ssp585_mean,ssp585_high
2020,517141471.2483207,652165570.0,787189664.7516793,417540952.13962704,547194100.0,676847271.860373,467588604.5164566,597555140.0,727521667.4835434,406706902.9477226,540936960.0,675167017.0522773
2030,1002205698.3809189,1290950000.0,1579694333.619081,827057136.1087105,1103742300.0,1380427535.8912895,965023051.164815,1307345000.0,1649666996.835185,964321214.3519981,1254819600.0,1545317953.648002
2040,1596145189.6888535,1992094100.0,2388042970.3111467,1498095924.2066092,1917936100.0,2337776331.7933908,1723279138.97382,2244602000.0,2765925085.0261803,1893336356.089259,2368897800.0,2844459227.910741
2050,1964914740.7765064,2424975400.0,2885035979.2234936,2360858356.421759,2897474600.0,3434090763.578241,2900988999.994843,3534535700.0,4168082360.005157,3147336541.701456,3702251800.0,4257167010.298544
2060,2135729875.9952312,2655041300.0,3174352684.004769,3146647062.338737,3803425800.0,4460204521.661263,4328847977.064029,5046126600.0,5763405206.935971,4264658029.681093,4844666400.0,5424674706.318907
2070,2202562309.217886,2729583900.0,3256605434.782114,3780589909.638057,4427436500.0,5074283178.361942,5748626039.175145,6476667000.0,7204707720.824855,5216870792.030484,5749635000.0,6282399351.969516
2080,2118033063.008297,2660068900.0,3202104664.991703,4345886338.895292,4990959000.0,5636031869.104708,7074475472.458721,7784515600.0,8494555695.541279,5860350764.283502,6306350600.0,6752350419.716498
2090,1892594497.644504,2410427400.0,2928260286.355496,4692855193.158929,5330636300.0,5968417382.841071,8455081848.826216,9094481000.0,9733879943.173784,6226956133.888462,6561325600.0,6895695002.111538
