,ssp126_low,ssp126_mean,ssp126_high,ssp245_low,ssp245_mean,ssp245_high,ssp370_low,ssp370_mean,ssp370_high,ssp585_low,ssp585_mean,ssp585_high
2020,146215505.7151931,181114990.0,216014478.2848069,137105814.62348673,168033340.0,198960873.37651327,138863181.99601403,165342800.0,191822418.00398597,136593463.70308855,169766380.0,202939304.29691145
2030,296957265.41323245,359053280.0,421149294.58676755,271167384.8561596,331612500.0,392057639.1438404,281810253.6319382,353480700.0,425151154.3680618,310501934.86200976,389836830.0,469171729.13799024
2040,495202110.8296268,572976900.0,650751681.1703732,481196517.245574,595728700.0,710260890.754426,526366206.91980636,643019840.0,759673473.0801936,602872686.0453687,733613440.0,864354193.9546313
2050,638323006.9601926,749621700.0,860920385.0398074,811620728.0011423,972763600.0,1133906439.9988577,962739514.5476607,1137294200.0,1311848901.4523394,1091346345.8447933,1236726700.0,1382106966.1552067
2060,711864014.1779027,849432500.0,987001009.8220973,1071217592.6967205,1251699500.0,1432181319.3032794,1541178041.9065604,1743396900.0,1945615686.0934396,1448042989.2173486,1580714000.0,1713384978.7826514
2070,699724329.4778991,849443000.0,999161686.5221009,1322145040.9774034,1507221800.0,1692298479.0225966,2088464138.8316405,2291919000.0,2495374069.1683593,1685417680.2258809,1793603100.0,1901788463.7741191
2080,662655898.4003167,823637250.0,984618597.5996833,1529853589.3290503,1722005000.0,1914156394.6709497,2663295457.6691804,2881220900.0,3099146270.3308196,1628611005.5512922,1784277900.0,1939944770.4487078
2090,588410337.6143632,748718800.0,909027230.3856368,1681082150.244677,1838555000.0,1996027865.755323,3018248544.526082,3244027100.0,3469805727.473918,1507362095.8582451,1672335400.0,1837308624.1417549
