,ssp126_low,ssp126_mean,ssp126_high,ssp245_low,ssp245_mean,ssp245_high,ssp370_low,ssp370_mean,ssp370_high,ssp585_low,ssp585_mean,ssp585_high
2020,173850966.60434824,270055970.0,366260969.39565176,218558248.6008593,243331060.0,268103863.3991407,178027844.14161175,276141950.0,374256059.85838825,203488245.3562645,233059940.0,262631626.6437355
2030,208134606.2096417,315780030.0,423425457.7903583,245375750.75169504,285277980.0,325180217.24830496,225175049.22866762,342101220.0,459027382.7713324,257285052.49096265,292254900.0,327224771.5090374
2040,235226154.8329074,342149250.0,449072341.16709256,277139114.4535384,329873570.0,382608021.5464616,279921199.91317165,415160220.0,550399248.0868284,301224683.63905084,337976350.0,374728020.36094916
2050,259458770.99187988,383655360.0,507851949.0081201,337997266.419226,390611460.0,443225645.580774,342955135.152113,500207900.0,657460672.847887,373760697.8876019,422504540.0,471248390.1123981
2060,273343668.11789155,389907780.0,506471883.88210845,365324845.15419847,419970080.0,474615314.84580153,438530700.7893153,610187840.0,781844979.2106848,429769439.3445291,487119780.0,544470112.6554708
2070,271227848.527521,377489180.0,483750519.472479,404548832.86847115,461059700.0,517570591.13152885,531886741.4608978,711917250.0,891947754.5391022,510643834.5754143,584868600.0,659093381.4245857
2080,254409118.52695423,361699840.0,468990561.47304577,420967554.2861265,481217340.0,541467133.7138735,669524002.2234733,878436600.0,1087349213.7765267,585160979.2893122,674825600.0,764490220.7106878
2090,237378843.11456472,338397470.0,439416100.8854353,448262966.2385987,502030100.0,555797257.7614013,821583872.5260279,1063315500.0,1305047167.473972,659742993.2827661,769578200.0,879413358.7172339
