,ssp126_low,ssp126_mean,ssp126_high,ssp245_low,ssp245_mean,ssp245_high,ssp370_low,ssp370_mean,ssp370_high,ssp585_low,ssp585_mean,ssp585_high
2020,1940376205.426548,2172695600.0,2405014898.573452,821644357.6016548,1019803460.0,1217962554.3983452,1896367300.0034194,2105704100.0,2315040827.9965806,849573072.2631559,1039167400.0,1228761775.736844
2030,2836172831.880628,3155184000.0,3474195424.119372,1800467711.763745,2148210400.0,2495953152.2362547,2885430906.8989325,3232752400.0,3580073861.1010675,2095347693.4330068,2416160500.0,2736973330.566993
2040,3604012516.6447263,3945932300.0,4287852059.3552737,3005387550.0676885,3419288600.0,3833189601.9323115,4173528696.2067127,4562887000.0,4952245639.793287,3505680704.2821813,3898115000.0,4290549439.7178187
2050,4028609723.18544,4379242500.0,4729875268.81456,4250978604.5642214,4635303000.0,5019627219.435779,5566121999.567992,5945981400.0,6325840880.432008,4821690271.652728,5129471000.0,5437251680.347272
2060,4107467761.982941,4486260700.0,4865053710.017059,5041420825.735127,5412214300.0,5783007718.264873,6925767690.052186,7260523500.0,7595279349.947814,5687962615.871139,5926439400.0,6164916232.128861
2070,4041184880.880854,4404211700.0,4767238543.119145,5520506437.185073,5868644400.0,6216782266.814927,8020920839.104917,8309050400.0,8597179896.895084,6162009263.939025,6369438700.0,6576868176.060975
2080,3793179746.8533807,4174065000.0,4554950045.146619,5893014035.216421,6188133400.0,6483252716.783579,8947851059.11252,9208676000.0,9469501644.88748,6344026486.5750475,6526219300.0,6708412041.4249525
2090,3448415118.580002,3830267600.0,4212120177.419998,6042772499.365927,6323239000.0,6603705324.634073,9790236658.649202,10030551000.0,10270865421.350798,6355538162.783312,6525878300.0,6696218381.216688
